,job_title,company_name,country,city,job_type,work_location,experience_level,yrs_exp,industry_and_skills,label
287,"Senior Analyst, SAP Development - ABAP",Olayan Saudi Holding Company,SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Business Development, Analyst/Research, Engineering - Telecom/Technology, Business Development, Analysis, Sales, Business Analysis, Computer Engineering, Computer Science, Information Technology (IT)",0
288,Shopify Developer,Bevatel,Egypt,Giza,Full Time,On-site,Experienced,2 - 5,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, AJAX, APIs, Computer Science, CSS, Development, HTML, Information Technology (IT)",0
289,Food Safety Officer,Kode Clubs,Egypt,Cairo,Full Time,On-site,Entry Level,1 - 3,"Operations/Management, Quality, Agriculture, food safety, Food, Food Science, HACCP, Quality Control, Safety",2
290,ERP Consultant,Noases,Egypt,Cairo,Full Time,On-site,Experienced,4+,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, Accounting, Information Technology (IT), Project Management, SAP ERP, Business Administration, Business Processes, computer",2
291,Senior PHP Developer,Confidential,Germany,Munich,Full Time,Remote,Experienced,5 - 15,"IT/Software Development, Engineering - Telecom/Technology, PHP, Software Development, Symfony, developer, Information Technology (IT), Computer Science, Software Engineering, PHP developer",0
292,Devops Engineer,waffarha.com,Egypt,Cairo,Full Time,Hybrid,Experienced,3 - 6,"males_only, IT/Software Development, Engineering - Telecom/Technology, Engineering, DevOps, AWS, Software Development, Linux, Information Technology (IT), Python, MySQL",0
293,IT Help Desk,Delta Egypt For Lighting ,Egypt,Cairo,Full Time,On-site,Entry Level,0 - 3,"IT/Software Development, Information Technology (IT), Help desk, ERP, SAP, English, computer, IT, Computer Science",2
294,"Manager, Visualizer",ROSHN l روشن,SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Creative/Design/Art, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Marketing, Visual Merchandising, Information Technology (IT), Design, Graphic Design, Management",2
295,Senior Backend Laravel Developer (Experienced),Road9 Media,Egypt,Cairo,Full Time,Remote,Experienced,5 - 7,"IT/Software Development, Engineering - Telecom/Technology, Development, Laravel, Information Technology (IT), RESTful, PHP, Computer Science, Database, MySQL",0
296,Sales Reporting Analyst (MIS),ECCO Gulf WLL,Qatar,Doha,Full Time,Not Specified,Experienced,Not Specified,"Accounting/Finance, Analyst/Research, Sales/Retail, Sales, Analysis, Sales Skills, Sales Analysis, Finance, Microsoft Office, Accounting",1
297,Oracle Fusion SCM Support Specialist,Confidential,Egypt,Cairo,Full Time,On-site,Experienced,1 - 3,"IT/Software Development, Logistics/Supply Chain, Cloud, Computer Science, Customer Support, Fusion, Information Technology (IT), Oracle, Oracle Fusion, SCM",2
298,Senior Testing/Quality Assurance,Sulfah,Egypt,Cairo,Full Time,On-site,Experienced,4 - 8,"IT/Software Development, Quality, Automation Testing, Computer Science, Information Technology (IT), ISTQB, quality, Quality Assurance, Software, Testing",2
299,Administrative Associate - Direct Investments - CFO Office - 2023,Mubadala,UnitedArabEmirates,Dubai,Full Time,Not Specified,Entry Level,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Administration, Maintenance, Cisco, Computer Science, System Administration, Admin",0
300,iOS Developer,The Employer,Egypt,Cairo,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Quality, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, iOS, Software Development, Software Engineering, Android, Swift",0
301,Marketing Sr Analyst - Customer Lifecycle Management,Kavak.com,UnitedArabEmirates,Dubai,Full Time,Not Specified,Experienced,Not Specified,"Marketing/PR/Advertising, Analyst/Research, Media/Journalism/Publishing, Marketing, Market Research, Analysis, Research, Digital Marketing, Business Analysis, Economics",2
302,Presales Manager,SPECTRO SYSTEMS,Egypt,Cairo,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Sales/Retail, Engineering - Telecom/Technology, Sales, Information Technology (IT), Presales, Sales Skills, Engineering, Computer Science, Customer Service",1
303,Artificial Intelligence and Robotic,Astute Human Capital Consultancy LLC,UnitedArabEmirates,Dubai,Full Time,Not Specified,Experienced,Not Specified,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), Accounting, Artificial Intelligence, FInance, Computer Engineering, Engineering",0
304,IT Specialist,Samir and Aly Stationery Houses and Co.,Egypt,Cairo,Full Time,On-site,Experienced,0 - 1,"IT/Software Development, Communication, Communication skills, IT, Installation, Networks, Technical Support, Computer Science",2
305,Senior Full stack developer .Net/Angular,GAMP LTD,Egypt,Alexandria,Full Time,On-site,Experienced,5 - 10,"IT/Software Development, Angular, Computer Science, Full Stack Developer, Full Stack, developer, Information Technology (IT), JavaScript, NET, Software Development",2
306,Senior Full Stack developer (.Net & Angular),GS,Egypt,Cairo,Full Time,Hybrid,Experienced,5 - 7,"IT/Software Development, .Net, CSS, HTML5, Information Technology (IT), Software, Software Development, jQuery, JavaScript, ASP.Net",2
307,Senior IOS Developer,NEXT-Munich GmbH,Egypt,Cairo,Full Time,Hybrid,Experienced,3 - 5,"Business Development, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Engineering, Information Technology (IT), iOS, Mobile Development, Software, Software Development",0
308,IT Operations Specialist,Döhler Group,Egypt,Giza,Full Time,On-site,Entry Level,1 - 3,"IT/Software Development, CCNA, IT, Network, Information Technology (IT), Computer Science, computer, Science",0
309,Senior Information Security specialist,Allianz,Egypt,Cairo,Full Time,On-site,Experienced,3 - 5,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, Engineering, Information Technology (IT), Information Security, Computer Engineering",0
310,Laravel Developer,Marketopia Programming and Marketing  ,Egypt,Alexandria,Full Time,On-site,Experienced,2 - 5,"IT/Software Development, Project/Program Management, Engineering - Other, Laravel, APIs, PHP, Vue.js, flutter, Computer Science, Agile",2
311,IT Specialist - Hurghada,Ibn Sina Pharma,Egypt,RedSea,Full Time,On-site,Entry Level,1 - 2,"IT/Software Development, Engineering - Telecom/Technology, CCNA, computer, Computer Science, Engineering, English, Information Technology (IT), Maintenance, MCSA",0
312,IT Service Desk Specialist (Delta Governorates),Erada,Egypt,Gharbia,Full Time,On-site,Experienced,2 - 4,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Customer Service, CCNA, Communication skills, Help desk, Information Technology (IT), IT, English",2
313,System Administrator,PICO,Egypt,Cairo,Full Time,On-site,Experienced,2 - 3,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Engineering, Computer Science, Networks, System administrator, System Administration",0
314,Python Developer,Confidential,Egypt,Cairo,Full Time,On-site,Experienced,4 - 6,"IT/Software Development, Information Technology (IT), Django, Computer Science, Software Development, Python, JavaScript, Engineering",0
315,Technical Support Engineer - Air Conditioning,LG Electronics,Egypt,Cairo,Full Time,On-site,Experienced,3 - 7,"Installation/Maintenance/Repair, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, Electronics, Technical Support, Computer Skills, Microsoft Office, English, Engineering, Communication",2
316,Salesforce Analyst,Swisslog,UnitedArabEmirates,Dubai,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Sales/Retail, information technology (it), computer science, sales, sales skills, salesforce, agile, testing",1
317,IT Infrastructure Engineer,Kellogg Tolaram Noodles Egypt LLC,Egypt,Giza,Full Time,On-site,Manager,8 - 15,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, CCNA, Cloud, Computer Science, Information Technology (IT), Infrastructure, IT, Software Development",0
318,Freelance QA Reviewer - Arabic (Gulf),TransPerfect,UnitedArabEmirates,Dubai,Freelance / Project,Not Specified,Entry Level,Not Specified,"IT/Software Development, Quality, Engineering - Telecom/Technology, quality assurance, computer science, information technology (it), quality control, qa, quality, arabic",2
319,IT System Engineer,Nahdet Misr Publishing Group,Egypt,Giza,Full Time,On-site,Experienced,3 - 6,"Installation/Maintenance/Repair, IT/Software Development, computer, Information Technology (IT), Microsoft, Science, MCSE",0
320,Senior Finance Analyst,Johnson & Johnson,SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Analysis, Business Analysis, Finance, Accounting, Financial Analysis",0
321,Senior Network Engineer,RAMW,Egypt,Cairo,Full Time,On-site,Experienced,5 - 10,"IT/Software Development, CCNP, Computer Science, IT, Networking, Software Development",2
322,Tele sales Agent - (fresh grad),Confidential,Egypt,Cairo,Full Time,On-site,Entry Level,Not Specified,"Customer Service/Support, Sales/Retail, Property, Sales, sales skills, Real Estate Sales, Science, Real Estate, Sales Target, Customer Service",1
323,Database Administrator,Erada,Egypt,Cairo,Full Time,On-site,Experienced,4 - 4,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Administration, Database, Database Administrator, Database Design, Information Technology (IT), Oracle",2
324,Senior Knowledge Analyst - Center for CFO Excellence,Boston Consulting Group (BCG),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Analysis, Business Analysis, Finance, Accounting, Financial Analysis",0
325,Processing Officer,Allianz Partners,Egypt,Cairo,Full Time,Not Specified,Entry Level,Not Specified,"Administration, R&D/Science, Logistics/Supply Chain, Data Entry, Microsoft Office, Administration, Data Processor, Health Care, Insurance, Logistics",2
326,Senior Analyst - Center for CFO Excellence (Corporate Finance),Boston Consulting Group (BCG),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, Analysis, Business Analysis, Finance, Accounting, Financial Analysis",0
327,Finance Analyst,Skill Farm,UnitedArabEmirates,Dubai,Full Time,Not Specified,Entry Level,Not Specified,"Accounting/Finance, Banking, Analyst/Research, Finance, Accounting, Financial Analysis, Commerce, Microsoft Office, Analyst, Economics",2
328,Finance Graduate Analyst,Skill Farm,Qatar,Doha,Full Time,Not Specified,Entry Level,Not Specified,"Accounting/Finance, Administration, Analyst/Research, Accounting, Finance, Financial Analysis, Commerce, Microsoft Office, Information Technology (IT), MBA",2
329,IOS Developer,SIGMA EMEA,Egypt,Cairo,Full Time,Not Specified,Entry Level,Not Specified,"IT/Software Development, Quality, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, iOS, Software Development, Software Engineering, Android, Swift",0
330,Security Supervisor - Saudi National,The First Group,SaudiArabia,Makkah,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Legal, Engineering - Telecom/Technology, Security, Information Technology (IT), Computer Science, Engineering, CISSP, CISM, Computer Engineering",0
331,Senior Python Developer,Trufla,Egypt,Cairo,Full Time,Hybrid,Experienced,4+,"IT/Software Development, APIs, Computer Science, Information Technology (IT), Engineering, Python, Software Development, Software Engineering, SQL, REST",0
332,IT Technical Support Specialist,Egyptian German Automotive,Egypt,Giza,Full Time,On-site,Experienced,4+,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Communication skills, Information Technology (IT), English, IT, Networks, Computer Science, Maintenance",0
333,HSE Manager,Confidential,Egypt,Sharqia,Full Time,On-site,Manager,10+,"Operations/Management, Quality, Engineering - Other, HSE, Science, Engineering, Medicine, Veterinary, Quality, Safety",2
334,IT Help Desk Specialist,Rotem SRS,Egypt,Cairo,Full Time,On-site,Experienced,3 - 3,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Computer Science, IT, CCNA, Troubleshooting",0
335,Digital Products Design Manager,Confidential,Egypt,Giza,Full Time,Hybrid,Manager,8 - 10,"IT/Software Development, Design, Computer Science, Software, UI, UX, Digital",2
336,Statistician,FAO,Egypt,Cairo,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, data analysis, software development, statistician, ai, analysis, data collection, data science",2
337,Technology Manager,levoile Stores,Egypt,Cairo,Full Time,On-site,Manager,10+,"IT/Software Development, Project/Program Management, Engineering - Telecom/Technology, Information Technology (IT), Management, Computer Science",0
338,Chief Technology Officer,Confidential,SaudiArabia,Khobar,Full Time,On-site,Manager,2 - 7,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), mobile applications, Computer Engineering, Computer Science, CTO, Technology, Network Infrastructure",0
339,Senior React Native Developer,TechJump,Egypt,Alexandria,Full Time,Hybrid,Experienced,2 - 7,"IT/Software Development, Engineering - Telecom/Technology, Development, Computer Science, Information Technology (IT), React Native, Software Development, Mobile Development",0
340,Analyst - Credit and Collections,"WESCO International, Inc.",SaudiArabia,Riyadh,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Analysis, Information Technology (IT), Computer Science, Business Analysis, Finance, Accounting, Microsoft Office",0
341,Business Intelligence & commercial Execution Associate,Abbott Healthcare Products Ltd,Egypt,Cairo,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Intelligence, Information Technology (IT), Computer Science, SQL, BI, Engineering, Software Engineering",0
342,Medical Science Liaison Immunology,Johnson & Johnson,Egypt,Cairo,Full Time,Not Specified,Experienced,Not Specified,"R&D/Science, Medical/Healthcare, Pharmaceutical, pharmacy, science, medical, medicine, immunology, sales, pharmacovigilance",2
343,SAP ABAP Consulttant,InfoVision Inc.,UnitedArabEmirates,Dubai,Full Time,Not Specified,Experienced,Not Specified,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), ABAP, SAP, Computer Science, Software Engineering, Computer Engineering, SAP ABAP",0
344,SAP ABAP Lead,InfoVision Inc.,UnitedArabEmirates,Dubai,Full Time,Not Specified,Experienced,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), SAP, ABAP, Computer Science, Software Engineering, ERP, Computer Engineering",0
345,SASE Engineer with Python,CodiLime,Egypt,Cairo,Freelance / Project,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Python, Computer Science, Information Technology (IT), Software Engineering, Docker, Django, Software Development",0
346,Junior QA Analyst,JODAYN,SaudiArabia,Riyadh,Full Time,Not Specified,Entry Level,Not Specified,"Accounting/Finance, IT/Software Development, Analyst/Research, Analysis, Information Technology (IT), Microsoft Office, Quality Assurance, Data Analysis, Financial Analysis, QA",2
347,Software Business Analyst,Softec Technologies,Egypt,Cairo,Full Time,On-site,Experienced,2 - 3,"IT/Software Development, Analyst/Research, Business Analysis, System Analysis, Technical Analysis, Analysis, Information Technology (IT), Computer Science, Project Management, Communication Skills",2
348,Medical Sales Representative (Cairo -Alex),Ortho-House for Medical Services,Egypt,Cairo,Full Time,Remote,Entry Level,1 - 3,"Medical/Healthcare, Sales/Retail, Pharmaceutical, Medical, Sales, Sales Skills, Market Research, Vet, Pharmacy, Dentistry",1
349,SAS Developer (Fraud Domain),Dicetek LLC,UnitedArabEmirates,Dubai,Freelance / Project,Not Specified,Entry Level,Not Specified,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Information Technology (IT), SAS, Development, ESB, Engineering, Integration",0
350,Business Intelligence & commercial Execution Associate,Abbott,Egypt,Cairo,Full Time,Not Specified,Not specified,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Intelligence, Information Technology (IT), Computer Science, SQL, BI, Engineering, Software Engineering",0
351,Senior Full Stack Developer - Remotely,IQRA Network,Egypt,Cairo,Full Time,Remote,Experienced,4 - 6,"Creative/Design/Art, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Full Stack, HTML, Information Technology (IT), Java, JavaScript, jQuery",2
352,MIS Analyst,ECCO Gulf WLL,Qatar,Doha,Full Time,Not Specified,Experienced,Not Specified,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, information technology (it), computer science, analysis, business analysis, mis, quality, banking",0
353,Technical Support Engineer,Bevatel,Egypt,Giza,Full Time,On-site,Entry Level,1 - 2,"IT/Software Development, Computer Science, Information Technology (IT), Technical Support, configuring, API, Programming, HTTP, English, WhatsApp Business API",2
354,Senior Android Developer,Expert Apps,Egypt,Cairo,Full Time,Hybrid,Experienced,5+,"IT/Software Development, Engineering - Telecom/Technology, Android, back-end, APIs, computer, Computer Science, Information Technology (IT), Offline storage, RESTful",2
355,Senior SAP CRM SD Consultant,iHR (International Human Resources),SaudiArabia,Riyadh,Full Time,Not Specified,Experienced,Not Specified,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, SAP, Information Technology (IT), Computer Science, Software Engineering, ABAP, ERP, SD",0
356,NLP Engineer,Lumin,Egypt,Giza,Full Time,Hybrid,Experienced,2 - 4,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Computer Science, Deep Learning, Information Technology (IT), Machine Learning, Mathematics, NLP, Python",2
357,Quality Analyst,Publicis Media,UnitedArabEmirates,Dubai,Full Time,Not Specified,Experienced,Not Specified,"Quality, Analyst/Research, Pharmaceutical, Quality, Quality Control, Quality Assurance, Pharmacy, Analysis, Science, Computer Science",2
358,Artificial Intelligence Engineer,Arabia for Information Technology,Egypt,Cairo,Full Time,Hybrid,Experienced,5+,"males_only, IT/Software Development, Engineering - Telecom/Technology, Computer Engineering, Computer Science, Software Development, Information Technology (IT), Framework, Engineering, English, Communication",0
359,AI Business Consultant,Noases,Egypt,Cairo,Full Time,Hybrid,Senior Management,7 - 10,"Business Development, IT/Software Development, AI, business, Business Development, Project Management, Consulting, Management, Computer Science",2
360,⁠Full Stack Web Developer,Confidential,Egypt,Cairo,Full Time,On-site,Entry Level,1 - 3,"IT/Software Development, Engineering - Telecom/Technology, Laravel, PHP, Web Development, Software Development, Angular, Vue.js, HTML, Computer Science",2
361,Senior IOS Mobile Developer,Expert Apps,Egypt,Cairo,Full Time,Hybrid,Experienced,4 - 7,"IT/Software Development, Engineering - Telecom/Technology, Mobile Development, iOS, Programming, APIs, Computer Science, Design, Git, Software",2
362,SR. COMMERCIAL ANALYST,QatarEnergy,Qatar,Doha,Full Time,Not Specified,Experienced,Not Specified,"Accounting/Finance, IT/Software Development, Analyst/Research, Analysis, Accounting, Computer Science, Finance, Information Technology (IT), Commerce, Microsoft Office",2
363,Digital Transformation Lead,Rashideen Egypt for Trade ,Egypt,Cairo,Full Time,On-site,Manager,3 - 5,"IT/Software Development, Sales/Retail, Computer Science, digital marketing, Digital Marketing, English, Information Systems, Sales, SAP, Technology",2
364,IT Technical Operations Team Leader,Egyptian German Automotive,Egypt,Giza,Full Time,On-site,Experienced,9 - 12,"males_only, IT/Software Development, IT Team Lader, Information Technology (IT), Network Infrastructure, System Administration, Network Administration, Leadership skills, Troubleshooting, Fortinet Firewall, Backup Solutions",2
365,System Engineer,Nexus Tech Support,Egypt,Cairo,Full Time,On-site,Experienced,4 - 5,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Engineering, Computer Science, Engineering, engineer, Information Technology (IT), System engineer, system",0
366,Design & Estimation Engineer,Johnson Controls,Egypt,Cairo,Full Time,On-site,Experienced,7 - 8,"Creative/Design/Art, CAD, Computer Science, Design, Estimation, Information Technology (IT), Power, Software, SolidWorks, Estimation Engineer",2
367,Python Developer,TechJump,Egypt,Alexandria,Full Time,Hybrid,Experienced,1 - 4,"IT/Software Development, Engineering - Telecom/Technology, Computer Science, Engineering, Information Technology (IT), Software Development, Python, Django",0
368,Flutter Developer Full stack,Almohandis,Egypt,Giza,Full Time,On-site,Experienced,3 - 5,"IT/Software Development, Engineering - Telecom/Technology, Git, App Development, Mobile App Development, iOS, Android, Information Technology (IT), Development, Computer Science",2
369,Senior Web Developer,Johnson Controls,Egypt,Cairo,Full Time,On-site,Experienced,4 - 6,"IT/Software Development, Computer Science, .Net, MVC, Software Development, Information Technology (IT), Design, UX\UI, HTML, CSS",2
370,Senior Java Developer,Egabi FSI,Egypt,Cairo,Full Time,On-site,Experienced,5+,"IT/Software Development, Engineering - Telecom/Technology, Engineering, Git, Information Technology (IT), Java, OOP, Software, Computer Science, Software Engineering",0
371,Business Development Representative,Bit68,Egypt,Cairo,Full Time,Hybrid,Entry Level,1 - 3,"Business Development, Marketing/PR/Advertising, Sales/Retail, Business Development, computer, Sales, Software, Communication, Computer Science, sales skills",1
372,Senior Frontend Developer - Fully Remote Job,Confidential,Egypt,Cairo,Full Time,Remote,Experienced,3 - 10,"IT/Software Development, Engineering - Telecom/Technology, Engineering - Other, CSS3, Computer Science, Software Development, Software Engineering, front-end, HTML5, Information Technology (IT)",0
373,Infrastructure Engineer / VMware,Efada Technology,Egypt,Giza,Full Time,Hybrid,Experienced,3 - 7,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, Information technology, Engineering, Technology, Servers, Telecom, Telecommunication",0
374,Senior Oracle Apps Developer,EVA Cosmetics ,Egypt,Giza,Full Time,On-site,Experienced,4 - 7,"IT/Software Development, Pharmaceutical, Engineering - Telecom/Technology, Computer Science, PL/SQL, Information Technology (IT), Software Development, Oracle, SQL, business",0
375,React Native Developer,mazenet solution ,Egypt,Cairo,Full Time,On-site,Experienced,3 - 5,"IT/Software Development, Engineering - Telecom/Technology, React Native, JavaScript, Typescript, RESTful APIs, Redux, mobx, Mobile Development, Software Development",2
376,Full Stack Developer,3S Software,Egypt,Cairo,Full Time,Hybrid,Experienced,2 - 4,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, MySQL, MVC, Information Technology (IT), JavaScript, HTML5, HTML, API",2
377,ERP Functional Consultant,Ultimate Solutions Egypt,Egypt,Giza,Full Time,On-site,Experienced,1 - 5,"Accounting/Finance, Business Development, IT/Software Development, Accounting, business, Business Processes, Computer Science, ERP, Information Technology (IT), English",2
378,ATM/POS Switch Technical Administrator,e-finance,Egypt,Giza,Full Time,On-site,Experienced,1 - 2,"IT/Software Development, ATM, Banking, Computer Science, Configuration, Engineering, Information Technology (IT), IST, Linux, Pos",2
379,Lead Scrum Master/Agile Coach,Giza Systems,Egypt,Cairo,Full Time,On-site,Manager,7 - 20,"IT/Software Development, Agile, Computer Science, Information Technology (IT), Scrum, Scrum Master, Management, Development, Communication",2
380,Project Manager,Confidential,Egypt,Cairo,Full Time,On-site,Senior Management,3 - 7,"Business Development, Project/Program Management, Strategy/Consulting, Project, Planning, Projects, Management, Computer Science, Engineering",2
381,Odoo Implementer,Confidential,Egypt,Giza,Full Time,On-site,Experienced,3+,"Accounting/Finance, IT/Software Development, Engineering - Telecom/Technology, Odoo Implementer, Odoo, Information Technology (IT), ERP, Computer Science",2
382,Zoho CRM Implementer,Bevatel,Egypt,Giza,Full Time,On-site,Experienced,2 - 4,"IT/Software Development, CRM, Information Technology (IT), Computer Science, Computer Engineering, CRM Implementer, Zoho CRM, zoho implementation, zoho customization",2
383,IT Specialist . Tanta,Ibn Sina Pharma,Egypt,Gharbia,Full Time,On-site,Experienced,1 - 3,"Hospitality/Hotels/Food Services, IT/Software Development, Engineering - Telecom/Technology, CCNA, Computer Science, Information Technology (IT), MCSA, MCITP",2
384,IT- ICS/OT Cybersecurity Senior Engineer,Elfaeed Recruitment Agency,SaudiArabia,Riyadh,Full Time,On-site,Experienced,5+,"IT/Software Development, Engineering - Telecom/Technology, IT Service Management, Cybersecurity, Computer Science, Information Technology (IT), Telecommunication",0
385,IDB3325 - Data Visualization &Analytics Specialist,Islamic Development Bank (IsDB),SaudiArabia,Makkah,Full Time,Not Specified,Entry Level,Not Specified,"Accounting/Finance, Operations/Management, Quality, audit, audits, analytics, sap, managementdevelop",2
386,ERP Project Manager,ATRIC Developments,Egypt,Cairo,Full Time,On-site,Experienced,6 - 8,"IT/Software Development, Project/Program Management, Development, Information Technology (IT), Odoo Development, Odoo, Project Management, Computer Science, Software, ERP System",2
387,Senior Frontend Developer,Tenjaz,Egypt,Cairo,Full Time,On-site,Experienced,2 - 5,"IT/Software Development, Engineering - Telecom/Technology, React.js, React, Software Development, Information Technology (IT), Software Engineering, Vue, Computer Engineering, Computer Science",0
388,Senior Quality Assurance Analyst,Tangent,Egypt,Cairo,Full Time,Hybrid,Experienced,4 - 10,"IT/Software Development, Quality, Information Technology (IT), English, QA, quality, Quality Assurance, Testing, Agile, APIs",2
389,Supervisor Curriculum Specialist Health Sciences,Institute of Applied Technology,UnitedArabEmirates,Dubai,Full Time,Not Specified,Experienced,Not Specified,"R&D/Science, Quality, Pharmaceutical, science, pharmacy, medical, pharmaceutical, engineering, education, teaching",2
390,Senior Elixir Developer,FlairsTech,Egypt,Cairo,Full Time,Hybrid,Experienced,4 - 5,"IT/Software Development, Engineering - Telecom/Technology, Elixir, Phoneix, OTP, Programming, Development, Information Technology (IT), Software Engineering, Software Development",0
391,Oracle Developer,National Paints,Egypt,Cairo,Full Time,On-site,Experienced,1 - 6,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, computer, Computer Science, Information Technology (IT), ITIL, MIS, OCP, Oracle",0
392,Network Security Administrator,Exception Patisserie,Egypt,Giza,Full Time,On-site,Experienced,4 - 7,"males_only, IT/Software Development, Engineering - Telecom/Technology, Engineering, ESXi, firewalls, HW, Information Technology (IT), Installation, Network Administration, server",2
393,IT Manager,Naguib Selim,Egypt,Cairo,Full Time,On-site,Manager,5 - 10,"Installation/Maintenance/Repair, IT/Software Development, Information Technology (IT), Computer Science, Computer Engineering, Project Management, IT Manager",0
394,Application Support Team Leader,Confidential,Egypt,Cairo,Full Time,On-site,Experienced,5 - 7,"Customer Service/Support, IT/Software Development, Engineering - Mechanical/Electrical, Engineering, JavaScript, Software Development, Computer Science, Agile, Communication skills, Software Engineering",0
395,Senior Backend Developer PHP / Laravel,Sulfah,Egypt,Cairo,Full Time,On-site,Experienced,3 - 7,"IT/Software Development, Engineering - Telecom/Technology, Computer Engineering, Computer Science, Information Technology (IT), PHP, Software Development, Software",0
396,Senior Dynamics 365 Finance & Operations Retail Developer,Confidential,Egypt,Cairo,Full Time,On-site,Senior Management,4 - 6,"Accounting/Finance, IT/Software Development, Operations/Management, Microsoft Dynamics, Microsoft dynamics 365, Retail, Dynamics, Dynamics 365, Software Development, Web Development",2
397,ERP Specialist Dynamic 365,Exception Patisserie,Egypt,Giza,Full Time,On-site,Experienced,3 - 8,"males_only, Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Dynamic 365, ERP, Computer Science, Information Technology (IT), Microsoft dynamics 365",2
398,Technical Prodcut Owner,NOK for Human Capital Solutions,Egypt,Cairo,Full Time,Hybrid,Experienced,4 - 6,"IT/Software Development, Information Technology (IT), Java, Computer Science, Software Development, Python, c++, Networking",0
399,Senior System & Network Admin,Cashcall,Egypt,Cairo,Full Time,Hybrid,Experienced,3+,"Installation/Maintenance/Repair, IT/Software Development, Engineering - Telecom/Technology, Computer Science, IT, Networking, Information Technology (IT), System Administration, Maintenance, Python",0
400,Senior AI Engineer,Lumin,Egypt,Giza,Full Time,Hybrid,Experienced,3 - 5,"IT/Software Development, AI, Artificial Intelligence, Computer Vision, Machine Learning, TensorFlow, Python, Computer Science, Programming, PyTorch",2
401,IT Help Desk Specialist,R squared Holding,Egypt,Cairo,Full Time,On-site,Experienced,5 - 7,"IT/Software Development, Engineering - Telecom/Technology, Information Technology (IT), Help desk, Databases, Troubleshooting, Computer Science, Odoo Development",2
402,Business Analyst,IT Pillars,Egypt,Cairo,Full Time,On-site,Experienced,2 - 4,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, business, Business Analysis, Analysis, Communication skills, Computer Science, Development, Software Development",0
